Training CBOW_CrossEntropyLoss_SGD-lr0.020...
Training | CBOW_CrossEntropyLoss_SGD-lr0.020 | Epoch 99 | Loss 0.03063647439230663
Saved CBOW_CrossEntropyLoss_SGD-lr0.020 (./data/embeddings/CBOW_CrossEntropyLoss_SGD-lr0.020.pt)
Training CBOW_CrossEntropyLoss_SGD-lr0.010...
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 0 | Loss 0.04075043820056684
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 1 | Loss 0.037000459967422815
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 2 | Loss 0.03600157661877431
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 3 | Loss 0.03541110991037736
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 4 | Loss 0.03499257808411439
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 5 | Loss 0.03466798711942224
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 6 | Loss 0.03440553354451762
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 7 | Loss 0.03418547877864239
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 8 | Loss 0.03399722748455042
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 9 | Loss 0.033833236922845414
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 10 | Loss 0.033688592090888335
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 11 | Loss 0.03355949833892117
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 12 | Loss 0.033443461790530864
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 13 | Loss 0.033338128249663555
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 14 | Loss 0.033241126060220484
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 15 | Loss 0.03315264146268057
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 16 | Loss 0.033070800412224675
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 17 | Loss 0.03299452911609151
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 18 | Loss 0.03292336779309875
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 19 | Loss 0.03285720586296202
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 20 | Loss 0.032795004453009854
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 21 | Loss 0.03273601569131907
